코드,성명,등급,최초등록일
0001,강정호,A,2001-09-29 
0002,김강민,B,2000-11-22 
0003,김민규,C,2000-01-07 
0004,김안중,C,2007-12-19 
0005,김영자,B,2007-12-06 
0006,서인숙,A,2007-10-04 
0007,손영희,A,2007-09-08 
0008,송지은,B,2007-08-23 
0009,안철수,A,2007-07-31 
0010,이소라,C,2002-11-29 
0011,임지연,B,2005-05-21 
0012,정인혜,B,2005-05-21 
0013,지승용,A,2002-09-12 
0014,정청수,C,2007-01-09 
0015,한사영,B,2003-05-18 
0016,정진라,A,2001-06-19 
0017,선우선,B,2007-02-15 
0018,유한길,C,2002-07-02 
0019,서정희,C,2001-04-14 
0020,임성한,B,2003-09-06 
0021,박유정,A,2001-06-08 
0022,정민섭,A,2007-03-05 
0023,김소연,B,2005-11-02 
0024,김융희,C,2003-10-08 
0025,김민서,A,2001-08-07 
0026,이지우,A,2003-11-16 
0027,강혜주,C,2005-04-28 
0028,황정민,B,2000-08-19 
0029,임요한,B,2005-03-17 
0030,오안국,B,2002-04-03 
